_id,id,name,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,participants_count,mitra_id,certified,logo,mitra_name,published_time
6659488a8dba1a49d446590f,c36a5923-022e-11ef-8ad6-764062c2ca38,Bitlabs Future Tech Talent - Data Analytics For Business,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Online,,0,271cf8aa-1d47-4faf-ab4a-55e55f1f2b7a,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8a82efd2-5b46-482d-991b-c139b8bd0e0b.png,Bitlabs Academy,2024-05-15T22:33:00Z
6659488a8dba1a49d4465910,e971ddb3-ddf2-11ee-91f1-9e7c6fd4b809,Certified Solidwork CAM (CSWP-CAM): Manufacturing Engineering Learning Path,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7396fc52-95a3-4676-a7cb-c0b1edcf5d01.png,dr. Mekanik Academy,2024-05-15T21:37:00Z
6659488a8dba1a49d4465911,b454b67c-ddf2-11ee-91f1-9e7c6fd4b809,Certified Solidwork Mold Making (CSWPA-MM): Design Engineering Learning Path,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7396fc52-95a3-4676-a7cb-c0b1edcf5d01.png,dr. Mekanik Academy,2024-05-15T21:37:00Z
6659488a8dba1a49d4465912,9e3aa9b5-ddf3-11ee-91f1-9e7c6fd4b809,Certified Certnexus IOT Assosiate: Internet Of Things Learning Path,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7396fc52-95a3-4676-a7cb-c0b1edcf5d01.png,dr. Mekanik Academy,2024-05-15T21:37:00Z
6659488a8dba1a49d4465913,0c7674fd-ddf3-11ee-91f1-9e7c6fd4b809,Certified Solidwork CAE Simulation (CSWA-S): Engineering Learning Path,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7396fc52-95a3-4676-a7cb-c0b1edcf5d01.png,dr. Mekanik Academy,2024-05-15T21:37:00Z
6659488a8dba1a49d4465914,b1afa2b2-effe-11ee-b227-5a5e7a11ce1c,Fullstack Software Development,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Online,,0,bba6171a-8b3d-4829-b1d9-2226978ee8b8,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8d844607-ecf9-42e4-a5e8-79d6e3ac27c8.png,Productzilla Academy,2024-05-15T21:00:00Z
6659488a8dba1a49d4465915,8f103bb1-fcd1-11ee-8f25-123aa03a4ccc,RevoU Tech Academy - Data Analytics And GenAI,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Jakarta Selatan,016300,0,6a3605e0-c7c1-428e-8b4c-9368b3f7dbb1,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6cd71e6c-9e7c-4146-8ffd-e1a3b18af955.png,RevoU,2024-05-15T21:00:00Z
6659488a8dba1a49d4465916,b3520380-f24b-11ee-b227-5a5e7a11ce1c,AI & Machine Learning,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Online,,0,bba6171a-8b3d-4829-b1d9-2226978ee8b8,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8d844607-ecf9-42e4-a5e8-79d6e3ac27c8.png,Productzilla Academy,2024-05-15T21:00:00Z
6659488a8dba1a49d4465917,f5c33225-effe-11ee-b227-5a5e7a11ce1c,Digital Mastery: A Journey Through Modern Marketing,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Online,,0,bba6171a-8b3d-4829-b1d9-2226978ee8b8,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8d844607-ecf9-42e4-a5e8-79d6e3ac27c8.png,Productzilla Academy,2024-05-15T21:00:00Z
6659488a8dba1a49d4465918,e49afd4b-fcd3-11ee-8f25-123aa03a4ccc,AWS Cendekiawan - Cloud And Gen AI Machine Learning By RevoU,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Jakarta Selatan,016300,0,6a3605e0-c7c1-428e-8b4c-9368b3f7dbb1,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6cd71e6c-9e7c-4146-8ffd-e1a3b18af955.png,RevoU,2024-05-15T21:00:00Z
